Phecode 	 Gwas Source 	 Gwas ID 	 Description	 GWAS URL  	.Method 	 Tuning Parameter 	 # SNPS  	 P-Value 	 OR  	 OR_CI  	 Psuedo-R2 	 Brier Score 	 AUC Estimate 	 AUC 95% CI 	 Hosmer-Lemeshow P  	  Hosmer-Lemeshow Chi-square 	 Odds Ratio Estimate 	 Odds Ratio ORCI1  	 Odds Ratio ORCI2 	 PRSweb 	 Nominal Significance 	 WARNING_REVERSED_EFFECT 	 Prswebprefix 	 Reference URl  
174.1	UKB GWAS (FINNGEN)	C3_BREAST_3	Malignant neoplasm of breast	http://www.nealelab.is/uk-biobank	P_5e-06	P<=5e-06	88	5.6e-28	1.404	1.321,  1.491	0.0251	0.137	0.594	0.577,  0.61	0.342	9.0	2.03	1.28	3.23	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_C3-BREAST-3_P_5e-06_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=30104761
174.1	UKB GWAS (FINNGEN)	C3_BREAST_3	Malignant neoplasm of breast	http://www.nealelab.is/uk-biobank	P_5e-05	P<=5e-05	233	5.4e-24	1.368	1.287,  1.454	0.0207	0.138	0.585	0.568,  0.601	0.114	12.9	1.82	1.13	2.93	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_C3-BREAST-3_P_5e-05_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=30104761
174.1	UKB GWAS (FINNGEN)	C3_BREAST_3	Malignant neoplasm of breast	http://www.nealelab.is/uk-biobank	PRS-CS		1111495	3.7e-21	1.338	1.259,  1.421	0.0193	0.138	0.579	0.563,  0.596	0.475	7.59	2.17	1.38	3.41	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_C3-BREAST-3_PRS-CS_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=30104761
174.1	UKB GWAS (FINNGEN)	C3_BREAST_3	Malignant neoplasm of breast	http://www.nealelab.is/uk-biobank	P&T	P<=1.26e-05	120	1.1e-28	1.411	1.328,  1.5	0.0257	0.137	0.594	0.578,  0.61	0.0537	15.3	2.31	1.47	3.61	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_C3-BREAST-3_PT_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=30104761
174.1	UKB GWAS (FINNGEN)	C3_BREAST_3	Malignant neoplasm of breast	http://www.nealelab.is/uk-biobank	Lassosum	s=0.5;Lambda=0.01833	2267	3.4e-32	1.438	1.354,  1.528	0.03	0.137	0.603	0.587,  0.62	0.325	9.21	2.37	1.54	3.65	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_C3-BREAST-3_LASSOSUM_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=30104761
174.1	UKB GWAS (ICD10)	C50	Diagnoses - main ICD10: C50 Malignant neoplasm of breast	http://www.nealelab.is/uk-biobank	P_5e-09	P<=5e-09	14	1.9e-17	1.292	1.218,  1.371	0.0156	0.138	0.574	0.557,  0.59	0.00499	22.0	1.98	1.25	3.13	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_C50_P_5e-09_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=30104761
174.1	UKB GWAS (ICD10)	C50	Diagnoses - main ICD10: C50 Malignant neoplasm of breast	http://www.nealelab.is/uk-biobank	P_5e-08	P<=5e-08	20	6.4e-21	1.33	1.253,  1.412	0.0186	0.138	0.581	0.564,  0.597	0.00586	21.5	1.91	1.2	3.03	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_C50_P_5e-08_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=30104761
174.1	UKB GWAS (ICD10)	C50	Diagnoses - main ICD10: C50 Malignant neoplasm of breast	http://www.nealelab.is/uk-biobank	P_5e-07	P<=5e-07	29	4.2e-23	1.353	1.275,  1.437	0.0209	0.138	0.585	0.569,  0.602	0.0114	19.7	1.85	1.16	2.96	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_C50_P_5e-07_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=30104761
174.1	UKB GWAS (ICD10)	C50	Diagnoses - main ICD10: C50 Malignant neoplasm of breast	http://www.nealelab.is/uk-biobank	P_5e-06	P<=5e-06	66	4.2e-24	1.364	1.284,  1.448	0.0216	0.138	0.586	0.57,  0.603	0.0977	13.4	2.57	1.68	3.95	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_C50_P_5e-06_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=30104761
174.1	UKB GWAS (ICD10)	C50	Diagnoses - main ICD10: C50 Malignant neoplasm of breast	http://www.nealelab.is/uk-biobank	P_5e-05	P<=5e-05	197	3e-21	1.343	1.263,  1.427	0.0186	0.138	0.583	0.567,  0.6	0.011	19.8	1.77	1.08	2.9	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_C50_P_5e-05_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=30104761
174.1	UKB GWAS (ICD10)	C50	Diagnoses - main ICD10: C50 Malignant neoplasm of breast	http://www.nealelab.is/uk-biobank	PRS-CS		1111495	7.1e-20	1.323	1.246,  1.406	0.0183	0.138	0.578	0.562,  0.595	0.0236	17.7	2.03	1.29	3.2	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_C50_PRS-CS_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=30104761
174.1	UKB GWAS (ICD10)	C50	Diagnoses - main ICD10: C50 Malignant neoplasm of breast	http://www.nealelab.is/uk-biobank	P&T	P<=1.58e-06	42	1.5e-23	1.358	1.279,  1.442	0.0212	0.138	0.586	0.57,  0.603	0.405	8.3	1.43	0.853	2.41	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_C50_PT_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=30104761
174.1	UKB GWAS (ICD10)	C50	Diagnoses - main ICD10: C50 Malignant neoplasm of breast	http://www.nealelab.is/uk-biobank	Lassosum	s=0.5;Lambda=0.01833	4047	3e-28	1.404	1.322,  1.491	0.0264	0.137	0.598	0.582,  0.614	0.369	8.69	2.05	1.3	3.24	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_C50_LASSOSUM_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=30104761
174.1	UKB GWAS (ICD10)	D05	Diagnoses - main ICD10: D05 Carcinoma in situ of breast	http://www.nealelab.is/uk-biobank	P_5e-06	P<=5e-06	19	0.00016	1.119	1.055,  1.186	0.00286	0.139	0.533	0.516,  0.55	3.63E-4	28.7	1.46	0.87	2.46	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_D05_P_5e-06_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=30104761
174.1	UKB GWAS (ICD10)	D05	Diagnoses - main ICD10: D05 Carcinoma in situ of breast	http://www.nealelab.is/uk-biobank	P_5e-05	P<=5e-05	120	0.0055	1.087	1.025,  1.153	0.00148	0.14	0.523	0.506,  0.54	0.00261	23.7	1.16	0.667	2.02	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_D05_P_5e-05_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=30104761
174.1	UKB GWAS (ICD10)	D05	Diagnoses - main ICD10: D05 Carcinoma in situ of breast	http://www.nealelab.is/uk-biobank	PRS-CS		1107790	0.073	1.056	0.995,  1.121	7.22E-4	0.14	0.518	0.501,  0.536	0.00507	21.9	1.16	0.667	2.02	FALSE	FALSE	FALSE	PRSWEB_PHECODE174.1_D05_PRS-CS_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=30104761
174.1	UKB GWAS (ICD10)	D05	Diagnoses - main ICD10: D05 Carcinoma in situ of breast	http://www.nealelab.is/uk-biobank	P&T	P<=7.94e-06	25	0.00014	1.12	1.056,  1.187	0.00286	0.139	0.532	0.515,  0.549	0.0018	24.6	1.39	0.817	2.36	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_D05_PT_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=30104761
174.1	UKB GWAS (ICD10)	D05	Diagnoses - main ICD10: D05 Carcinoma in situ of breast	http://www.nealelab.is/uk-biobank	Lassosum	s=1;Lambda=0.03793	29211	0.093	1.053	0.991,  1.118	6.87E-4	0.14	0.512	0.495,  0.529	0.00681	21.1	1.36	0.802	2.32	FALSE	FALSE	FALSE	PRSWEB_PHECODE174.1_D05_LASSOSUM_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=30104761
174.1	GWAS Catalog (2019-05-03)	GWAS_Catalog_r2019-05-03_X174.1	Breast cancer;Breast cancer (estrogen-receptor negative);Breast Cancer in BRCA1 mutation carriers;Breast cancer in BRCA2 mutation carriers	https://www.ebi.ac.uk/gwas	P_5e-09	P<=5e-09	62	5.2e-37	1.488	1.399,  1.582	0.0346	0.136	0.607	0.59,  0.623	0.0688	14.5	3.06	2.04	4.6	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_GWAS-Catalog-r2019-05-03-X174.1_P_5e-09_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=17529967+17529973+17529974+18326623+19330027+19330030+20453838+20852631+20872241+21263130+21424380+23354978+23535729+23535733+23544012+23544013+25751625+29058716+29059683
174.1	GWAS Catalog (2019-05-03)	GWAS_Catalog_r2019-05-03_X174.1	Breast cancer;Breast cancer (estrogen-receptor negative);Breast Cancer in BRCA1 mutation carriers;Breast cancer in BRCA2 mutation carriers	https://www.ebi.ac.uk/gwas	P_5e-08	P<=5e-08	62	5.2e-37	1.488	1.399,  1.582	0.0346	0.136	0.607	0.59,  0.623	0.0688	14.5	3.06	2.04	4.6	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_GWAS-Catalog-r2019-05-03-X174.1_P_5e-08_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=17529967+17529973+17529974+18326623+19330027+19330030+20453838+20852631+20872241+21263130+21424380+23354978+23535729+23535733+23544012+23544013+25751625+29058716+29059683
174.1	GWAS Catalog (2019-05-03)	GWAS_Catalog_r2019-05-03_X174.1	Breast cancer;Breast cancer (estrogen-receptor negative);Breast Cancer in BRCA1 mutation carriers;Breast cancer in BRCA2 mutation carriers	https://www.ebi.ac.uk/gwas	P_5e-07	P<=5e-07	62	5.2e-37	1.488	1.399,  1.582	0.0346	0.136	0.607	0.59,  0.623	0.0688	14.5	3.06	2.04	4.6	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_GWAS-Catalog-r2019-05-03-X174.1_P_5e-07_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=17529967+17529973+17529974+18326623+19330027+19330030+20453838+20852631+20872241+21263130+21424380+23354978+23535729+23535733+23544012+23544013+25751625+29058716+29059683
174.1	GWAS Catalog (2019-05-03)	GWAS_Catalog_r2019-05-03_X174.1	Breast cancer;Breast cancer (estrogen-receptor negative);Breast Cancer in BRCA1 mutation carriers;Breast cancer in BRCA2 mutation carriers	https://www.ebi.ac.uk/gwas	P_5e-06	P<=5e-06	62	5.2e-37	1.488	1.399,  1.582	0.0346	0.136	0.607	0.59,  0.623	0.0688	14.5	3.06	2.04	4.6	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_GWAS-Catalog-r2019-05-03-X174.1_P_5e-06_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=17529967+17529973+17529974+18326623+19330027+19330030+20453838+20852631+20872241+21263130+21424380+23354978+23535729+23535733+23544012+23544013+25751625+29058716+29059683
174.1	GWAS Catalog (2019-05-03)	GWAS_Catalog_r2019-05-03_X174.1	Breast cancer;Breast cancer (estrogen-receptor negative);Breast Cancer in BRCA1 mutation carriers;Breast cancer in BRCA2 mutation carriers	https://www.ebi.ac.uk/gwas	P_5e-05	P<=5e-05	62	5.2e-37	1.488	1.399,  1.582	0.0346	0.136	0.607	0.59,  0.623	0.0688	14.5	3.06	2.04	4.6	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_GWAS-Catalog-r2019-05-03-X174.1_P_5e-05_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=17529967+17529973+17529974+18326623+19330027+19330030+20453838+20852631+20872241+21263130+21424380+23354978+23535729+23535733+23544012+23544013+25751625+29058716+29059683
174.1	GWAS Catalog (2019-05-03)	GWAS_Catalog_r2019-05-03_X174.1	Breast cancer;Breast cancer (estrogen-receptor negative);Breast Cancer in BRCA1 mutation carriers;Breast cancer in BRCA2 mutation carriers	https://www.ebi.ac.uk/gwas	P&T	P<=3.16e-09	62	5.2e-37	1.488	1.399,  1.582	0.0346	0.136	0.607	0.59,  0.623	0.0688	14.5	3.06	2.04	4.6	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_GWAS-Catalog-r2019-05-03-X174.1_PT_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=17529967+17529973+17529974+18326623+19330027+19330030+20453838+20852631+20872241+21263130+21424380+23354978+23535729+23535733+23544012+23544013+25751625+29058716+29059683
174.1	Michailidou K et al. 2018	Onco_iCOGS_ER_negative_BRCA	Breast cancer [female]; ER negative	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	P_5e-09	P<=5e-09	31	2.8e-13	1.249	1.176,  1.325	0.0113	0.139	0.564	0.547,  0.58	3.81E-4	28.5	1.62	0.984	2.68	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_Onco-iCOGS-ER-negative-BRCA_P_5e-09_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	Onco_iCOGS_ER_negative_BRCA	Breast cancer [female]; ER negative	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	P_5e-08	P<=5e-08	49	1e-13	1.254	1.181,  1.33	0.012	0.139	0.566	0.549,  0.583	0.0321	16.8	1.72	1.05	2.81	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_Onco-iCOGS-ER-negative-BRCA_P_5e-08_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	Onco_iCOGS_ER_negative_BRCA	Breast cancer [female]; ER negative	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	P_5e-07	P<=5e-07	73	6.2e-12	1.233	1.162,  1.309	0.0102	0.139	0.559	0.542,  0.575	0.0708	14.5	1.62	0.98	2.67	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_Onco-iCOGS-ER-negative-BRCA_P_5e-07_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	Onco_iCOGS_ER_negative_BRCA	Breast cancer [female]; ER negative	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	P_5e-06	P<=5e-06	133	1.6e-16	1.285	1.211,  1.364	0.0153	0.138	0.571	0.554,  0.588	0.034	16.6	2.05	1.3	3.23	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_Onco-iCOGS-ER-negative-BRCA_P_5e-06_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	Onco_iCOGS_ER_negative_BRCA	Breast cancer [female]; ER negative	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	P_5e-05	P<=5e-05	392	1.8e-18	1.307	1.231,  1.388	0.0168	0.138	0.575	0.558,  0.592	0.337	9.06	2.15	1.37	3.39	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_Onco-iCOGS-ER-negative-BRCA_P_5e-05_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	Onco_iCOGS_ER_negative_BRCA	Breast cancer [female]; ER negative	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	PRS-CS		1119140	5e-19	1.326	1.246,  1.411	0.0179	0.138	0.578	0.561,  0.595	0.0437	15.9	1.8	1.13	2.88	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_Onco-iCOGS-ER-negative-BRCA_PRS-CS_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	Onco_iCOGS_ER_negative_BRCA	Breast cancer [female]; ER negative	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	P&T	P<=1.58e-05	217	1e-18	1.31	1.234,  1.391	0.0173	0.138	0.578	0.561,  0.594	0.197	11.1	1.84	1.14	2.97	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_Onco-iCOGS-ER-negative-BRCA_PT_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	Onco_iCOGS_ER_negative_BRCA	Breast cancer [female]; ER negative	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	Lassosum	s=0.5;Lambda=0.006952	18866	2.4e-17	1.297	1.221,  1.377	0.0152	0.138	0.573	0.556,  0.589	0.0313	16.9	1.87	1.16	3.01	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_Onco-iCOGS-ER-negative-BRCA_LASSOSUM_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	Onco_iCOGS_ER_positive_BRCA	Breast cancer [female]; ER positive	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	P_5e-09	P<=5e-09	210	2.6e-39	1.513	1.422,  1.609	0.0371	0.136	0.612	0.596,  0.628	0.111	13.0	2.82	1.86	4.27	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_Onco-iCOGS-ER-positive-BRCA_P_5e-09_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	Onco_iCOGS_ER_positive_BRCA	Breast cancer [female]; ER positive	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	P_5e-08	P<=5e-08	257	2.8e-40	1.521	1.43,  1.619	0.0383	0.136	0.614	0.598,  0.631	0.237	10.4	2.35	1.51	3.66	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_Onco-iCOGS-ER-positive-BRCA_P_5e-08_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	Onco_iCOGS_ER_positive_BRCA	Breast cancer [female]; ER positive	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	P_5e-07	P<=5e-07	343	3.9e-39	1.511	1.421,  1.608	0.037	0.136	0.612	0.595,  0.628	0.644	6.03	2.47	1.6	3.81	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_Onco-iCOGS-ER-positive-BRCA_P_5e-07_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	Onco_iCOGS_ER_positive_BRCA	Breast cancer [female]; ER positive	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	P_5e-06	P<=5e-06	495	2e-39	1.516	1.425,  1.613	0.0377	0.136	0.613	0.596,  0.629	0.161	11.8	2.29	1.47	3.56	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_Onco-iCOGS-ER-positive-BRCA_P_5e-06_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	Onco_iCOGS_ER_positive_BRCA	Breast cancer [female]; ER positive	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	P_5e-05	P<=5e-05	950	6.5e-43	1.549	1.455,  1.649	0.042	0.136	0.619	0.602,  0.635	0.0325	16.8	2.91	1.93	4.4	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_Onco-iCOGS-ER-positive-BRCA_P_5e-05_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	Onco_iCOGS_ER_positive_BRCA	Breast cancer [female]; ER positive	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	PRS-CS		1119140	4.7e-59	1.708	1.601,  1.822	0.0603	0.134	0.64	0.624,  0.657	0.0729	14.4	3.71	2.52	5.47	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_Onco-iCOGS-ER-positive-BRCA_PRS-CS_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	Onco_iCOGS_ER_positive_BRCA	Breast cancer [female]; ER positive	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	P&T	P<=7.94e-05	1142	8.1e-45	1.564	1.469,  1.665	0.0438	0.136	0.622	0.605,  0.638	0.157	11.9	2.7	1.77	4.1	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_Onco-iCOGS-ER-positive-BRCA_PT_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
